Name,Gender,Location
TCHAKA,m,Amharic
TEBEGE,m,Amharic
TEBIKE,m,Amharic
TEDROS,m,Amharic
TEFERI,m,Amharic
TENESAYE,f,Amharic
TERU,f,Ethiopian
TERUWORQ,f,Amharic
TESAME,f,Amharic
KIMANA,f,English
KIMBILIO,m,Swahili
KIMELO,m,Nyakyusa
KIMYA,f,Swahili
KINAYA,f,Swahili
KINUBI,m,Swahili
KIOJAH,f,Swahili
KIPEPEO,f,Swahili
KISA,f,Nyakyusa
KISAKYE,f,Eastern African
KISIMA,f,Swahili
TESFALEM,m,Tigrinya
TESFALEM,m,Amharic
TESFAMARIAM,m,Eastern African
TESHALE,m,Amharic
TESHOME,m,Eastern African
TESIFA,f,Amharic
KISSA,f,Ganda (?)
KITTAW,m,Amharic
KIUME,m,Swahili
KIURA,m,Kikuyu
KIWARA,f,Swahili
KIYA,f,Eastern African
KIZZA,m,Ganda
KOBUGABE,f,Tooro
KOBURUNGA,f,Tooro
KOKEBE,m,Amharic
KOKEBI,f,Amharic
KONIJO,f,Amharic
KOVU,m,Swahili
KUNYONYWA,m,Nyakyusa
KURUNZI,m,Swahili
KUSIIMA,m,Ganda (Modern)
KWAMBOKA,f,Gusii
KWELI,f,Swahili
KWOTH,m,African
LADAN,f,Somali
LAHELI,f,Nyakyusa
LAILATI,f,Indonesian
LAMESSA,m,Oromo
LAMI,m,Eastern African
LEBNA,f,Amharic
